               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11625,             0.31023,            0.058625,           0.0053439,            0.044628,            0.003363,          0.00047505,             0.11471,             0.18596,            0.058202,              0.0946,              0.0006,              0.0006
                   1,             0.11452,             0.33857,            0.058015,           0.0045973,             0.03303,           0.0026553,          0.00050564,              0.1123,             0.19146,            0.057707,            0.088291,           0.0012914,           0.0012914
                   2,             0.11233,             0.33142,            0.057491,            0.011691,            0.044019,           0.0070782,           0.0017247,             0.10859,             0.19773,            0.056631,            0.081974,           0.0019736,           0.0019736
                   3,             0.10987,             0.33534,            0.056804,            0.010706,            0.022644,           0.0068398,           0.0018253,             0.10361,             0.20129,            0.055126,            0.075647,           0.0026465,           0.0026465
                   4,             0.10456,             0.32711,            0.055243,            0.011956,            0.023397,           0.0076932,           0.0017306,             0.10243,             0.20816,            0.053173,             0.06931,           0.0033102,           0.0033102
                   5,             0.10349,             0.35152,            0.053996,            0.014605,            0.031944,            0.010617,           0.0029373,            0.098197,             0.25254,            0.051123,            0.062965,           0.0039647,           0.0039647
                   6,             0.10096,             0.36403,            0.052084,            0.017037,            0.049815,            0.014911,           0.0048377,            0.096148,             0.26021,            0.050334,             0.05661,           0.0046099,           0.0046099
                   7,            0.096398,             0.33541,             0.05059,             0.17903,            0.046152,            0.021288,            0.006244,            0.091911,             0.22836,            0.049088,            0.050246,           0.0052459,           0.0052459
                   8,            0.093568,             0.34839,             0.04861,             0.16506,            0.039738,            0.017717,           0.0053424,             0.08922,             0.25311,            0.047241,            0.043873,           0.0058726,           0.0058726
                   9,            0.089476,             0.34855,            0.047291,             0.50339,            0.036273,            0.023046,           0.0071867,            0.086931,             0.24878,            0.046568,             0.03749,           0.0064901,           0.0064901
                  10,            0.085357,             0.31385,            0.045936,            0.023198,            0.070611,            0.032629,            0.011949,             0.08523,             0.20067,             0.04529,            0.031098,           0.0070984,           0.0070984
                  11,            0.083553,             0.34966,            0.045099,            0.069314,            0.056118,            0.046456,              0.0132,            0.087254,             0.26565,            0.044715,            0.024697,           0.0076974,           0.0076974
