               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.062395,             0.31534,            0.035273,             0.35297,             0.24259,             0.19192,             0.08708,            0.055794,               0.206,            0.035806,            0.006535,            0.006535,            0.006535
                  37,            0.061522,             0.30152,            0.035198,             0.52937,             0.34608,             0.25223,             0.11077,            0.060119,             0.19271,            0.035473,            0.006436,            0.006436,            0.006436
                  38,            0.062349,             0.31765,            0.035131,             0.51042,             0.23632,             0.17776,            0.087026,            0.057927,             0.19035,            0.035209,            0.006337,            0.006337,            0.006337
                  39,            0.062901,             0.31686,            0.034975,             0.69664,             0.34622,             0.33515,             0.14392,            0.055577,             0.17701,            0.034985,            0.006238,            0.006238,            0.006238
                  40,            0.056664,             0.29869,            0.034821,             0.53349,             0.32358,             0.25126,             0.11835,            0.056549,             0.18535,             0.03471,            0.006139,            0.006139,            0.006139
                  41,            0.062576,             0.32774,             0.03454,             0.73146,              0.3502,             0.34999,             0.16491,            0.055034,             0.17794,            0.034553,             0.00604,             0.00604,             0.00604
                  42,            0.058497,             0.30761,            0.034229,             0.71728,             0.32162,             0.32395,              0.1418,            0.054392,              0.1806,            0.034235,            0.005941,            0.005941,            0.005941
                  43,            0.061935,             0.32905,             0.03298,             0.74217,             0.32924,             0.34708,             0.14564,            0.054065,              0.1744,             0.03407,            0.005842,            0.005842,            0.005842
                  44,             0.05492,             0.28856,            0.033499,             0.71889,             0.37152,             0.35892,             0.15018,            0.054441,             0.17599,            0.033758,            0.005743,            0.005743,            0.005743
                  45,            0.060631,             0.29717,            0.033232,             0.74569,             0.36618,             0.39222,             0.17769,            0.052841,             0.16299,            0.033639,            0.005644,            0.005644,            0.005644
                  46,             0.05638,              0.2984,             0.03306,             0.68898,             0.38487,             0.37085,             0.17325,            0.050453,             0.16939,            0.033438,            0.005545,            0.005545,            0.005545
                  47,            0.056428,             0.28962,            0.033561,             0.79086,             0.36075,              0.4147,             0.18867,            0.053255,             0.16537,            0.033222,            0.005446,            0.005446,            0.005446
                  48,            0.056726,             0.32085,            0.033386,             0.69928,             0.40389,             0.39113,             0.18493,            0.047678,             0.16812,            0.032995,            0.005347,            0.005347,            0.005347
                  49,            0.052503,             0.29773,             0.03311,             0.74038,             0.40552,              0.4237,             0.21399,            0.050729,             0.16862,            0.032881,            0.005248,            0.005248,            0.005248
                  50,            0.053699,             0.28125,            0.032758,             0.73285,             0.38148,             0.40373,             0.20936,            0.046265,             0.16429,            0.032622,            0.005149,            0.005149,            0.005149
                  51,            0.050752,               0.274,            0.032755,             0.75076,              0.3779,             0.41691,             0.19269,            0.053273,             0.16683,            0.032427,             0.00505,             0.00505,             0.00505
                  52,            0.056951,             0.30761,            0.032597,             0.78119,              0.3694,             0.42312,             0.23588,            0.042851,             0.16203,            0.032219,            0.004951,            0.004951,            0.004951
                  53,            0.049375,              0.2599,            0.032523,             0.80652,             0.38009,             0.45975,             0.21566,            0.054014,             0.16585,            0.031986,            0.004852,            0.004852,            0.004852
                  54,             0.05467,             0.28264,            0.032408,             0.78863,             0.39837,             0.42671,             0.23851,            0.042392,             0.15891,            0.031819,            0.004753,            0.004753,            0.004753
                  55,            0.049089,             0.28295,            0.031345,             0.79144,             0.37442,             0.44755,             0.22881,             0.05048,               0.165,            0.031709,            0.004654,            0.004654,            0.004654
                  56,            0.053605,             0.30045,            0.031692,             0.76735,              0.3827,             0.43527,             0.23599,            0.043821,             0.15954,            0.031449,            0.004555,            0.004555,            0.004555
                  57,            0.050372,             0.29556,            0.031435,             0.79979,             0.37931,             0.45901,             0.25791,            0.046532,             0.16178,             0.03138,            0.004456,            0.004456,            0.004456
                  58,            0.051301,             0.29794,            0.031265,              0.7964,             0.37378,             0.43843,             0.23288,            0.046046,             0.15932,            0.031004,            0.004357,            0.004357,            0.004357
                  59,            0.051872,             0.29614,            0.031197,             0.83042,             0.39136,             0.46319,             0.26632,            0.044793,             0.16152,            0.030936,            0.004258,            0.004258,            0.004258
                  60,            0.050213,             0.30127,            0.031546,             0.80636,             0.39032,             0.43982,             0.24152,            0.045187,             0.15985,            0.030715,            0.004159,            0.004159,            0.004159
                  61,            0.050591,             0.28207,            0.031015,             0.80518,             0.39524,             0.45448,             0.24485,            0.046377,             0.16259,            0.030752,             0.00406,             0.00406,             0.00406
                  62,            0.051162,             0.30244,            0.030439,             0.84414,             0.37287,             0.46174,             0.25842,            0.042105,             0.15937,            0.030596,            0.003961,            0.003961,            0.003961
                  63,            0.048199,             0.28092,             0.03091,             0.85051,             0.40551,             0.47326,             0.24928,            0.046627,             0.16501,            0.030549,            0.003862,            0.003862,            0.003862
                  64,            0.050832,              0.2934,            0.030623,             0.83973,             0.38704,             0.47212,             0.27494,            0.039675,             0.15356,            0.030282,            0.003763,            0.003763,            0.003763
                  65,             0.04619,             0.28888,            0.030511,             0.85529,             0.40436,             0.47486,             0.27864,            0.042592,             0.15699,            0.030236,            0.003664,            0.003664,            0.003664
                  66,            0.046197,             0.27103,            0.030319,              0.8404,             0.39228,             0.47276,             0.28404,            0.039621,             0.15248,            0.029884,            0.003565,            0.003565,            0.003565
                  67,            0.044916,             0.27721,            0.030031,             0.85351,             0.41113,             0.47472,             0.28003,            0.042948,             0.15562,              0.0299,            0.003466,            0.003466,            0.003466
                  68,            0.046781,             0.27426,            0.030175,             0.84091,             0.37254,             0.44935,             0.26345,            0.039684,              0.1512,            0.029749,            0.003367,            0.003367,            0.003367
                  69,            0.044991,             0.26221,            0.029965,             0.85442,             0.40605,             0.48782,             0.29032,            0.041422,             0.15616,             0.02966,            0.003268,            0.003268,            0.003268
                  70,            0.045433,             0.25762,            0.030624,             0.82573,             0.40802,             0.46361,             0.27295,            0.040732,             0.15085,            0.029497,            0.003169,            0.003169,            0.003169
